"Player","Year","Team","Cap.Number","Cash.Spent","Rank","REC","TGT","YDS","Y.R","LG","X20.","TD","ATT","YDS.1","TD.1","FL","G","FPTS","FPTS.G","ROST","REC_TGT_interaction"
"Racey McMath",2022,"Titans","$600,617",557778,175,2,8,40,20,39,1,0,1,4,0,0,4,4.4,1.1,"0.0%",0.25
"Rakim Jarrett",2023,"Buccaneers","$658,333",675000,176,4,9,60,15,41,1,0,1,0,0,0,10,6,0.6,"0.2%",0.444444444444444
"Raleigh Webb",2022,"Patriots","$470,000",470000,225,0,0,0,0,0,0,0,0,0,0,0,3,0,0,"0.0%",NA
"Randall Cobb",2020,"Texans","$6,101,563",9984375,79,38,48,441,11.6,34,6,3,0,0,0,0,10,62.1,6.2,"0.0%",0.791666666666667
"Randall Cobb",2021,"Packers","$2,687,254",5625000,68,28,39,375,13.4,54,6,5,1,1,0,1,11,65.6,6,"0.0%",0.717948717948718
"Randall Cobb",2022,"Packers","$4,149,019",3e+06,91,34,50,417,12.3,40,7,1,0,0,0,0,13,47.7,3.7,"0.0%",0.68
"Randall Cobb",2023,"Jets","$2,882,353",2823529,155,5,17,39,7.8,15,0,1,0,0,0,0,11,11.9,1.1,"0.0%",0.294117647058824
"Rashard Higgins",2020,"Browns","$750,000",910000,58,37,52,599,16.2,43,12,4,0,0,0,0,13,83.9,6.5,"0.0%",0.711538461538462
"Rashard Higgins",2021,"Browns","$1,127,500",2377500,119,24,47,275,11.5,21,1,1,0,0,0,0,12,33.5,2.8,"0.0%",0.51063829787234
"Rashard Higgins",2022,"Panthers","$1,047,500",1187500,245,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",NA
"Rashee Rice",2023,"Chiefs","$1,180,949",2473796,27,79,102,938,11.9,67,10,7,1,-3,0,1,16,133.5,8.3,"38.2%",0.774509803921569
"Rashid Shaheed",2022,"Saints","$509,167",509167,57,28,34,488,17.4,68,6,2,4,57,1,0,12,72.5,6,"30.0%",0.823529411764706
"Rashid Shaheed",2023,"Saints","$870,000",870000,40,46,75,719,15.6,58,12,5,7,37,0,1,16,109.6,6.9,"30.0%",0.613333333333333
"Rashod Bateman",2021,"Ravens","$2,290,802",7183208,80,46,68,515,11.2,36,8,1,0,0,0,0,12,57.5,4.8,"27.1%",0.676470588235294
"Rashod Bateman",2022,"Ravens","$2,863,503",1232701,109,15,28,285,19,75,5,2,0,0,0,1,6,38.5,6.4,"27.1%",0.535714285714286
"Rashod Bateman",2023,"Ravens","$3,436,204",1805402,90,32,56,367,11.5,29,2,1,1,18,0,0,16,44.5,2.8,"27.1%",0.571428571428571
"Reggie Begelton",2020,"Packers","$109,200",109200,222,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",NA
"Riley Ridley",2020,"Bears","$845,649",675000,187,4,4,39,9.8,18,0,0,0,0,0,0,5,3.9,0.8,"0.0%",1
"River Cracraft",2020,"49ers","$317,647",317647,185,6,9,41,6.8,12,0,0,0,0,0,0,9,4.1,0.5,"0.0%",0.666666666666667
"River Cracraft",2021,"49ers","$236,111",236111,249,0,0,0,0,0,0,0,0,0,0,0,3,0,0,"0.0%",NA
"River Cracraft",2022,"Dolphins","$804,167",804167,128,9,14,102,11.3,22,1,2,0,0,0,0,8,22.2,2.8,"0.0%",0.642857142857143
"River Cracraft",2023,"Dolphins","$768,889",873889,139,9,12,121,13.4,24,2,1,0,0,0,0,10,18.1,1.8,"0.0%",0.75
"Robbie Chosen",2020,"Panthers","$8,000,000",1.2e+07,27,95,136,1096,11.5,75,16,3,4,15,0,1,16,129.1,8.1,"0.0%",0.698529411764706
"Robbie Chosen",2021,"Panthers","$8,826,666",12500000,51,53,110,519,9.8,57,3,5,3,36,0,0,17,85.5,5,"0.0%",0.481818181818182
"Robbie Chosen",2022,"Cardinals","$690,000",690000,115,20,44,282,14.1,75,3,1,0,0,0,1,12,32.2,2.7,"0.0%",0.454545454545455
"Robbie Chosen",2023,"Dolphins","$365,556",453056,137,4,6,126,31.5,68,2,1,0,0,0,0,9,18.6,2.1,"0.0%",0.666666666666667
"Robert Foster",2020,"Commanders","$485,294",485294,188,2,6,37,18.5,28,1,0,0,0,0,0,4,3.7,0.9,"0.0%",0.333333333333333
"Robert Woods",2020,"Rams","$8,375,000",8e+06,13,90,129,936,10.4,56,11,6,24,155,2,1,16,155.1,9.7,"0.8%",0.697674418604651
"Robert Woods",2021,"Rams","$5,875,000",12500000,47,45,69,556,12.4,28,8,4,8,46,1,0,9,92.2,10.2,"0.8%",0.652173913043478
"Robert Woods",2022,"Titans","$7,410,000",1e+07,73,53,91,527,9.9,41,3,2,0,0,0,1,17,62.7,3.7,"0.8%",0.582417582417582
"Robert Woods",2023,"Texans","$5,500,000",8705882,83,40,75,426,10.7,26,2,1,1,7,0,0,14,49.3,3.5,"0.8%",0.533333333333333
"Rodney Adams",2021,"Bears","$199,733",199733,251,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",0
"Romeo Doubs",2022,"Packers","$875,979",1388916,77,42,67,425,10.1,26,7,3,1,11,0,1,13,59.6,4.6,"62.7%",0.626865671641791
"Romeo Doubs",2023,"Packers","$1,040,979",870000,39,59,96,674,11.4,36,7,8,0,0,0,0,17,115.4,6.8,"62.7%",0.614583333333333
"Rondale Moore",2021,"Cardinals","$1,258,955",3055820,85,54,64,435,8.1,77,3,1,18,76,0,1,14,55.1,3.9,"0.8%",0.84375
"Rondale Moore",2022,"Cardinals","$1,573,694",974739,93,41,56,414,10.1,38,6,1,6,-5,0,0,8,46.9,5.9,"0.8%",0.732142857142857
"Rondale Moore",2023,"Cardinals","$1,888,433",1289478,67,40,62,352,8.8,48,4,1,28,178,1,0,17,65,3.8,"0.8%",0.645161290322581
"Ronnie Bell",2023,"49ers","$769,446",827784,123,6,13,68,11.3,20,1,3,0,0,0,0,16,24.8,1.6,"0.1%",0.461538461538462
"Russell Gage",2020,"Falcons","$789,048",750000,40,72,109,786,10.9,35,6,4,2,9,0,0,16,109.1,6.8,"0.0%",0.660550458715596
"Russell Gage",2021,"Falcons","$2,222,048",2183000,45,66,94,770,11.7,49,8,4,0,0,0,2,13,97,7.5,"0.0%",0.702127659574468
"Russell Gage",2022,"Buccaneers","$5,666,666",1e+07,56,51,70,426,8.4,23,3,5,0,0,0,1,13,72.6,5.6,"0.0%",0.728571428571429
"Ryan Miller",2023,"Buccaneers","$245,667",245667,216,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.1%",NA
"Ryan Switzer",2021,"Browns","$490,000",490000,252,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",NA
"Sammy Watkins",2020,"Chiefs","$15,875,000",9e+06,94,37,55,421,11.4,37,4,2,1,3,0,1,10,51.4,5.1,"0.0%",0.672727272727273
"Sammy Watkins",2021,"Ravens","$5,000,000",5e+06,102,27,49,394,14.6,49,6,1,0,0,0,1,11,43.4,3.9,"0.0%",0.551020408163265
"Sammy Watkins",2022,"Ravens","$186,667",186667,117,16,27,325,20.3,55,7,0,0,0,0,1,9,30.5,3.4,"0.0%",0.592592592592593
"Samori Toure",2022,"Packers","$724,253",782012,146,5,10,82,16.4,37,2,1,0,0,0,0,4,14.2,3.6,"0.0%",0.5
"Samori Toure",2023,"Packers","$867,309",848056,168,8,18,78,9.8,35,1,0,0,0,0,1,11,7.8,0.7,"0.0%",0.444444444444444
"Seth Roberts",2020,"Packers","$120,000",120000,192,4,6,31,7.8,12,0,0,0,0,0,0,7,3.1,0.4,"0.0%",0.666666666666667
"Seth Williams",2021,"Broncos","$36,667",36667,195,1,1,34,34,34,1,0,0,0,0,0,1,3.4,3.4,"0.0%",1
"Shedrick Jackson",2023,"Bengals","$305,001",305001,218,0,1,0,0,0,0,0,0,0,0,0,2,0,0,"0.0%",0
"Shi Smith",2021,"Panthers","$703,104",832416,162,6,11,104,17.3,63,1,0,1,-3,0,0,5,10.1,2,"0.0%",0.545454545454545
"Shi Smith",2022,"Panthers","$868,104",825000,107,22,41,296,13.5,38,6,2,0,0,0,1,17,39.6,2.3,"0.0%",0.536585365853659
"Simi Fehoko",2022,"Cowboys","$617,816",557778,188,3,4,24,8,12,0,0,0,0,0,0,3,2.4,0.8,"0.6%",0.75
"Simi Fehoko",2023,"Chargers","$60,000",60000,171,1,2,9,9,9,0,1,0,0,0,0,5,6.9,1.4,"0.6%",0.5
"Skyy Moore",2022,"Chiefs","$1,172,819",2576276,130,22,33,250,11.4,30,2,0,3,24,0,3,16,21.4,1.3,"0.1%",0.666666666666667
"Skyy Moore",2023,"Chiefs","$1,466,024",998205,108,21,38,244,11.6,54,3,1,3,23,0,0,14,32.7,2.3,"0.1%",0.552631578947368
"Stefon Diggs",2020,"Bills","$13,450,000",14700000,3,127,166,1535,12.1,55,20,8,1,1,0,0,16,201.6,12.6,"56.6%",0.765060240963855
"Stefon Diggs",2021,"Bills","$6,378,954",13755882,8,103,164,1225,11.9,61,12,10,0,0,0,0,17,182.5,10.7,"56.6%",0.628048780487805
"Stefon Diggs",2022,"Bills","$11,736,111",24580000,5,110,156,1455,13.2,53,17,11,1,-3,0,0,17,211.2,12.4,"56.6%",0.705128205128205
"Stefon Diggs",2023,"Bills","$14,875,111",24415000,12,107,160,1183,11.1,55,10,8,1,5,0,1,17,166.8,9.8,"56.6%",0.66875
"Sterling Shepard",2020,"Giants","$8,500,000",6500000,52,66,90,656,9.9,29,10,3,6,49,1,0,12,96.5,8,"7.5%",0.733333333333333
"Sterling Shepard",2021,"Giants","$5,010,000",7e+06,106,36,53,366,10.2,37,4,1,1,-9,0,0,7,41.7,6,"7.5%",0.679245283018868
"Sterling Shepard",2022,"Giants","$6,303,824",2382353,132,13,24,154,11.8,65,1,1,0,0,0,0,3,21.4,7.1,"7.5%",0.541666666666667
"Sterling Shepard",2023,"Giants","$1,092,500",1317500,162,10,22,57,5.7,13,0,1,1,6,0,1,15,10.3,0.7,"7.5%",0.454545454545455
"T.Y. Hilton",2020,"Colts","$14,542,000",14542000,41,56,93,762,13.6,50,11,5,0,0,0,0,15,108.2,7.2,"3.0%",0.602150537634409
"T.Y. Hilton",2021,"Colts","$6,450,000",8e+06,89,23,37,331,14.4,52,4,3,0,0,0,0,10,51.1,5.1,"3.0%",0.621621621621622
"T.Y. Hilton",2022,"Cowboys","$800,000",635294,151,7,10,121,17.3,52,2,0,0,0,0,0,3,12.1,4,"3.0%",0.7
"Tajae Sharpe",2020,"Chiefs","$24,000",24000,249,0,3,0,0,0,0,0,0,0,0,0,4,0,0,"0.0%",0
"Tajae Sharpe",2021,"Falcons","$850,000",990000,135,25,37,230,9.2,17,0,0,0,0,0,0,14,23,1.6,"0.0%",0.675675675675676
"Tank Dell",2023,"Texans","$951,049",1804195,37,47,75,709,15.1,68,10,7,11,51,0,0,11,118,10.7,"91.9%",0.626666666666667
"Tanner Gentry",2022,"Bills","$286,999",286999,237,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",0
"Tarik Black",2021,"Jets","$46,000",46000,217,1,2,10,10,10,0,0,0,0,0,0,1,1,1,"0.0%",0.5
"Tavon Austin",2020,"Packers","$220,588",308824,226,5,5,20,4,7,0,0,0,0,0,1,4,0,0,"0.1%",1
"Tavon Austin",2021,"Jaguars","$785,833",990000,129,24,38,213,8.9,25,2,1,3,21,0,1,12,27.4,2.3,"0.1%",0.631578947368421
"Tay Martin",2022,"49ers","$262,334",262334,229,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",NA
"Tay Martin",2023,"49ers","$245,667",245667,237,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",NA
"Taywan Taylor",2020,"Browns","$548,529",548529,234,0,1,0,0,0,0,0,0,0,0,0,3,0,0,"0.0%",0
"Tee Higgins",2020,"Bengals","$1,579,416",4487664,28,67,108,908,13.6,67,14,6,5,28,0,1,16,127.6,8,"94.1%",0.62037037037037
"Tee Higgins",2021,"Bengals","$1,974,270",1004854,17,74,110,1091,14.7,54,17,6,0,0,0,1,14,145.1,10.4,"94.1%",0.672727272727273
"Tee Higgins",2022,"Bengals","$2,369,124",1399708,17,75,110,1042,13.9,59,14,7,0,0,0,0,15,148.2,9.9,"94.1%",0.681818181818182
"Tee Higgins",2023,"Bengals","$3,962,416",2993000,45,42,76,656,15.6,80,8,5,0,0,0,0,12,95.6,8,"94.1%",0.552631578947368
"Terrace Marshall Jr.",2021,"Panthers","$1,041,724",2186896,148,17,30,138,8.1,23,1,0,0,0,0,0,12,15.8,1.3,"0.0%",0.566666666666667
"Terrace Marshall Jr.",2022,"Panthers","$1,302,155",920431,82,28,47,490,17.5,43,10,1,0,0,0,0,13,55,4.2,"0.0%",0.595744680851064
"Terrace Marshall Jr.",2023,"Panthers","$1,562,586",1180862,150,19,33,139,7.3,14,0,0,0,0,0,0,9,13.9,1.5,"0.0%",0.575757575757576
"Terrell Bynum",2023,"Chargers","$245,667",245667,222,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",NA
"Terry Godwin",2020,"Jaguars","$35,882",35882,191,3,6,32,10.7,21,1,0,1,3,0,0,3,3.5,1.2,"0.0%",0.5
"Terry McLaurin",2020,"Commanders","$932,256",681451,23,87,134,1118,12.9,68,17,4,2,30,0,1,15,136.8,9.1,"94.2%",0.649253731343284
"Terry McLaurin",2021,"Commanders","$1,100,805",850000,24,77,130,1053,13.7,46,15,5,1,12,0,0,17,136.5,8,"94.2%",0.592307692307692
"Terry McLaurin",2022,"Commanders","$7,329,923",29479118,14,77,120,1191,15.5,52,16,5,7,29,0,0,17,152,8.9,"94.2%",0.641666666666667
"Terry McLaurin",2023,"Commanders","$11,025,000",5425000,33,79,132,1002,12.7,48,15,4,0,0,0,0,17,124.2,7.3,"94.2%",0.598484848484849
"Tim Jones",2022,"Jaguars","$705,000",705000,181,3,4,30,10,20,1,0,0,0,0,0,7,3,0.4,"0.0%",0.75
"Tim Jones",2023,"Jaguars","$870,000",870000,167,11,18,83,7.5,15,0,0,0,0,0,0,17,8.3,0.5,"0.0%",0.611111111111111
"Tim Patrick",2020,"Broncos","$750,000",750000,39,51,79,742,14.5,61,14,6,0,0,0,0,15,110.2,7.3,"0.8%",0.645569620253165
"Tim Patrick",2021,"Broncos","$4,134,000",6384000,40,53,85,734,13.8,44,10,5,0,0,0,0,16,103.4,6.5,"0.8%",0.623529411764706
"Tom Kennedy",2021,"Lions","$293,333",293333,155,6,10,54,9,15,0,0,0,0,0,0,7,12.4,1.8,"0.0%",0.6
"Tom Kennedy",2022,"Lions","$34,500",34500,149,8,15,141,17.6,44,2,0,0,0,0,0,7,14.1,2,"0.0%",0.533333333333333
"Tommylee Lewis",2020,"Saints","$48,529",48529,199,1,3,5,5,5,0,0,2,14,0,0,5,1.9,0.4,"0.0%",0.333333333333333
"Tommylee Lewis",2021,"Dolphins","$138,000",138000,218,1,2,7,7,7,0,0,0,0,0,0,2,0.7,0.4,"0.0%",0.5
"Tony Brown",2020,"Commanders","$67,200",67200,229,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",NA
"Travis Benjamin",2021,"49ers","$661,111",836111,264,0,5,0,0,0,0,0,0,0,0,1,5,-2,-0.4,"0.0%",0
"Travis Fulgham",2020,"Eagles","$555,882",555882,63,38,67,539,14.2,42,5,4,0,0,0,0,13,77.9,6,"0.0%",0.567164179104478
"Tre Tucker",2023,"Raiders","$964,378",1607512,81,19,34,331,17.4,50,6,2,10,77,0,0,16,52.8,3.3,"10.6%",0.558823529411765
"Tre'Quan Smith",2020,"Saints","$954,256",750000,71,34,50,448,13.2,31,9,4,1,3,0,0,14,69.1,4.9,"0.0%",0.68
"Tre'Quan Smith",2021,"Saints","$1,432,989",2183000,84,32,50,377,11.8,34,6,3,0,0,0,0,10,55.7,5.6,"0.0%",0.64
"Tre'Quan Smith",2022,"Saints","$1,600,000",3100000,113,19,27,278,14.6,48,4,1,0,0,0,0,10,33.8,3.4,"0.0%",0.703703703703704
"Tre'Quan Smith",2023,"Broncos","$269,300",269300,244,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"0.0%",NA
"Trent Taylor",2020,"49ers","$800,487",750000,171,10,21,86,8.6,29,2,0,0,0,0,0,12,8.6,0.7,"0.0%",0.476190476190476
"Trent Taylor",2021,"Bengals","$400,444",400444,184,2,3,41,20.5,26,1,0,0,0,0,0,4,4.1,1,"0.0%",0.666666666666667
"Trent Taylor",2022,"Bengals","$1,135,000",1135000,170,6,10,62,10.3,34,1,0,4,15,0,1,16,5.7,0.4,"0.0%",0.6
"Trent Taylor",2023,"Bears","$940,000",1080000,249,0,2,0,0,0,0,0,1,-2,0,1,16,-2.2,-0.1,"0.0%",0
"Trenton Irwin",2020,"Bengals","$170,282",170282,211,1,2,5,5,5,0,0,0,0,0,0,1,0.5,0.5,"0.1%",0.5
"Trenton Irwin",2021,"Bengals","$623,333",623333,194,2,5,34,17,25,1,0,0,0,0,0,5,3.4,0.7,"0.1%",0.4
"Trenton Irwin",2022,"Bengals","$320,833",320833,90,15,23,231,15.4,45,3,4,1,11,0,0,9,48.2,5.4,"0.1%",0.652173913043478
"Trenton Irwin",2023,"Bengals","$940,000",940000,99,25,32,316,12.6,32,7,1,0,0,0,0,16,37.6,2.4,"0.1%",0.78125
"Trey Palmer",2023,"Buccaneers","$794,824",929296,76,39,68,385,9.9,54,6,3,3,22,0,1,17,56.7,3.3,"3.1%",0.573529411764706
"Trey Quinn",2020,"Jaguars","$178,518",178518,244,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",NA
"Treylon Burks",2022,"Titans","$2,612,653",8335612,81,33,54,444,13.5,51,8,1,4,47,0,0,11,55.1,5,"1.4%",0.611111111111111
"Treylon Burks",2023,"Titans","$3,265,816",1358163,125,16,30,221,13.8,70,4,0,5,18,0,0,11,23.9,2.2,"1.4%",0.533333333333333
"Trinity Benson",2021,"Lions","$660,000",660000,161,10,22,103,10.3,24,2,0,0,0,0,0,7,10.3,1.5,"0.0%",0.454545454545455
"Trinity Benson",2022,"Lions","$248,056",248056,221,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",NA
"Trishton Jackson",2023,"Vikings","$120,333",120333,186,2,4,9,4.5,7,0,0,0,0,0,0,6,2.9,0.5,"0.0%",0.5
"Tutu Atwell",2021,"Rams","$1,074,309",2317236,229,0,0,0,0,0,0,0,0,0,0,0,6,0,0,"10.0%",NA
"Tutu Atwell",2022,"Rams","$1,342,886",928577,98,18,35,298,16.6,62,5,1,9,34,1,0,12,45.2,3.8,"10.0%",0.514285714285714
"Tutu Atwell",2023,"Rams","$1,611,463",1197154,59,39,67,483,12.4,44,8,3,5,31,0,0,16,73.4,4.6,"10.0%",0.582089552238806
"Tylan Wallace",2021,"Ravens","$831,339",1345356,203,2,6,23,11.5,18,0,0,0,0,0,0,10,2.3,0.2,"0.1%",0.333333333333333
"Tylan Wallace",2022,"Ravens","$996,339",825000,180,4,7,33,8.3,12,0,0,0,0,0,0,6,3.3,0.6,"0.1%",0.571428571428571
"Tylan Wallace",2023,"Ravens","$1,111,339",940000,169,1,2,11,11,11,0,0,0,0,0,0,9,7.1,0.8,"0.1%",0.5
"Tyler Boyd",2020,"Bengals","$8,050,000",6650000,37,79,110,841,10.6,72,7,4,5,49,0,0,15,113.6,7.6,"3.6%",0.718181818181818
"Tyler Boyd",2021,"Bengals","$9,850,000",8450000,33,67,94,828,12.4,68,10,5,2,22,0,0,16,116.8,7.3,"3.6%",0.712765957446808
"Tyler Boyd",2022,"Bengals","$10,100,000",8700000,28,59,83,776,13.2,60,10,6,0,0,0,0,17,116.5,6.9,"3.6%",0.710843373493976
"Tyler Boyd",2023,"Bengals","$10,300,000",8900000,55,67,98,667,10,64,6,2,2,11,0,0,17,78.8,4.6,"3.6%",0.683673469387755
"Tyler Johnson",2020,"Buccaneers","$688,605",924420,119,12,17,169,14.1,35,3,2,0,0,0,0,14,28.9,2.1,"7.2%",0.705882352941177
"Tyler Johnson",2021,"Buccaneers","$858,605",780000,113,36,55,360,10,31,4,0,0,0,0,0,16,36,2.3,"7.2%",0.654545454545455
"Tyler Johnson",2023,"Rams","$56,111",56111,173,2,3,8,4,8,0,1,0,0,0,0,1,6.8,6.8,"7.2%",0.666666666666667
"Tyler Lockett",2020,"Seahawks","$12,250,000",10200000,11,100,132,1054,10.5,47,10,10,0,0,0,0,16,165.4,10.3,"68.8%",0.757575757575758
"Tyler Lockett",2021,"Seahawks","$8,050,000",2.1e+07,11,73,107,1175,16.1,69,22,8,2,9,0,0,16,168.4,10.5,"68.8%",0.682242990654206
"Tyler Lockett",2022,"Seahawks","$10,050,000",1.6e+07,13,84,117,1033,12.3,40,14,9,0,0,0,2,16,153.3,9.6,"68.8%",0.717948717948718
"Tyler Lockett",2023,"Seahawks","$11,060,000",9700000,34,79,122,894,11.3,37,9,5,0,0,0,0,17,123.4,7.3,"68.8%",0.647540983606557
"Tyler Scott",2023,"Bears","$915,862",1413448,136,17,32,168,9.9,30,1,0,7,41,0,1,17,18.9,1.1,"0.1%",0.53125
"Tyquan Thornton",2022,"Patriots","$1,282,520",3015080,99,22,45,247,11.2,29,4,2,3,16,1,0,12,44.3,3.7,"0.1%",0.488888888888889
"Tyquan Thornton",2023,"Patriots","$1,603,150",1025630,148,13,23,91,7,15,0,0,3,51,0,0,9,14.2,1.6,"0.1%",0.565217391304348
"Tyreek Hill",2020,"Chiefs","$17,740,000",16290000,2,87,135,1276,14.7,75,20,15,13,123,2,0,15,241.9,16.1,"99.7%",0.644444444444444
"Tyreek Hill",2021,"Chiefs","$15,850,500",13200500,7,111,159,1239,11.2,75,13,9,9,96,0,1,17,185.5,10.9,"99.7%",0.69811320754717
"Tyreek Hill",2022,"Dolphins","$6,485,000",26885000,3,119,170,1710,14.4,64,25,7,7,32,1,0,17,222.2,13.1,"99.7%",0.7
"Tyreek Hill",2023,"Dolphins","$12,823,750",26350000,2,119,171,1799,15.1,78,29,13,6,15,0,1,16,257.4,16.1,"99.7%",0.695906432748538
"Tyrie Cleveland",2020,"Broncos","$628,873",685492,176,6,9,63,10.5,17,0,0,0,0,0,0,10,6.3,0.6,"0.0%",0.666666666666667
"Tyrie Cleveland",2021,"Broncos","$43,333",43333,232,0,1,0,0,0,0,0,0,0,0,0,4,0,0,"0.0%",0
"Tyrie Cleveland",2022,"Broncos","$92,000",92000,182,2,7,28,14,16,0,0,0,0,0,0,5,2.8,0.6,"0.0%",0.285714285714286
"Tyrie Cleveland",2022,"Eagles","$0",0,182,2,7,28,14,16,0,0,0,0,0,0,5,2.8,0.6,"0.0%",0.285714285714286
"Van Jefferson",2020,"Rams","$1,020,207",2250828,122,19,31,220,11.6,31,2,1,1,-1,0,0,16,27.9,1.7,"0.9%",0.612903225806452
"Van Jefferson",2021,"Rams","$1,275,259",865052,31,50,89,802,16,79,12,6,2,20,0,0,17,118.2,7,"0.9%",0.561797752808989
"Van Jefferson",2022,"Rams","$1,530,311",1120104,83,24,44,369,15.4,39,7,3,0,0,0,0,10,54.9,5.5,"0.9%",0.545454545454545
"Van Jefferson",2023,"Falcons","$993,168",996168,132,20,43,209,10.5,46,1,0,1,4,0,0,17,21.3,1.3,"0.9%",0.465116279069767
"Velus Jones Jr.",2022,"Bears","$982,895",1816580,122,7,14,107,15.3,44,2,1,9,103,1,3,11,27,2.5,"0.1%",0.5
"Velus Jones Jr.",2023,"Bears","$1,228,619",950724,170,4,7,20,5,11,0,0,8,51,0,0,14,7.1,0.5,"0.1%",0.571428571428571
"Vyncint Smith",2020,"Jets","$654,412",654412,205,1,3,13,13,13,0,0,0,0,0,0,7,1.3,0.2,"0.0%",0.333333333333333
"Vyncint Smith",2021,"Jets","$326,222",326222,257,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"0.0%",0
"Wan'Dale Robinson",2022,"Giants","$1,488,212",3837848,118,23,31,227,9.9,19,0,1,2,-1,0,0,6,28.6,4.8,"53.3%",0.741935483870968
"Wan'Dale Robinson",2023,"Giants","$1,860,265",1077053,61,60,78,525,8.8,33,7,1,9,87,1,0,15,73.2,4.9,"53.3%",0.769230769230769
"Xavier Gipson",2023,"Jets","$755,000",765000,98,21,38,229,10.9,36,4,0,8,68,1,2,17,37.7,2.2,"0.7%",0.552631578947368
"Xavier Hutchinson",2023,"Texans","$790,925",913700,151,8,19,90,11.3,34,1,0,5,49,0,0,15,13.9,0.9,"2.5%",0.421052631578947
"Zach Pascal",2020,"Colts","$750,000",750000,54,44,71,629,14.3,42,13,5,0,0,0,0,16,92.9,5.8,"0.0%",0.619718309859155
"Zach Pascal",2021,"Colts","$3,384,000",3384000,82,38,69,384,10.1,41,5,3,2,21,0,1,16,56.5,3.5,"0.0%",0.550724637681159
"Zach Pascal",2022,"Eagles","$1,500,000",1500000,133,15,19,150,10,34,2,1,1,0,0,0,15,21,1.4,"0.0%",0.789473684210526
"Zach Pascal",2023,"Cardinals","$1,830,000",2580000,190,4,15,19,4.8,9,0,0,0,0,0,0,14,1.9,0.1,"0.0%",0.266666666666667
"Zay Flowers",2023,"Ravens","$2,552,080",7958320,29,77,108,858,11.1,75,12,5,8,56,1,0,16,129.4,8.1,"95.9%",0.712962962962963
"Zay Jones",2020,"Raiders","$1,389,519",1389519,130,14,20,154,11,37,1,1,0,0,0,0,16,22.6,1.4,"1.6%",0.7
"Zay Jones",2021,"Raiders","$2,500,000",2500000,76,47,70,546,11.6,43,8,1,2,3,0,1,15,58.9,3.9,"1.6%",0.671428571428571
"Zay Jones",2022,"Jaguars","$4,303,921",8720588,29,82,121,823,10,59,7,5,4,18,0,0,16,116.1,7.3,"1.6%",0.677685950413223
"Zay Jones",2023,"Jaguars","$5,817,921",7764706,91,34,64,321,9.4,36,3,2,0,0,0,0,9,44.1,4.9,"1.6%",0.53125
